CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
7600;.;0;0;0;
8264;0800 FILTRO BRANCO;4,3;5,6;30,23;
8265;0800 FILTRO VERM.;3,909;5;0;
8266;0800 MENTA;3,909;5;0;
11958;1 TECLA PARALELA BCA 10 A 250V REF.1902005 RADIAL;8,73;14;60,37;
11953;1 TECLA SIMPLES BCA 10A/250V REF.1902002 RADIAL;4,99;7,99;60,12;
12841;1 TECLAS SIMPLES 1TOMADAS BCA 10 A 250V REF.1902116 RADIAL;8,9;14,25;60,11;
6942;1/2 CAPA LATERAL BAGUN N04;4,886;7,99;0;
6943;1/2 CAPA LATERAL BAGUN N05;5,8;9,5;0;
486;100 P.S 10GR;6,12;9,99;63,24;
12840;2 TECLAS SIMPLES 1TOMADAS BCA 10 A 250V REF.1902003 RADIAL;7,97;12,9;61,86;
11957;2 TECLAS SIMPLES 1TOMADAS BCA 10 A 250V REF.1902117 RADIAL;11,01;17,7;60,76;
11956;2 TOMADAS DISTANCIADAS BCA 10 A 250V REF.1902115 RADIAL;9,74;15,6;60,16;
12998;A PITEIRA/PITEIRA DE PAPEL P/CIGARRO BAMF EXTRACTIONS;3,89;7;79,95;
13483;ABACAXI BOB ICR;29,9;49;63,88;
10742;ABAFADOR INVICTUS HOOKAH SILVER;27,5;44;60;
5131;ABAJUDR DE LED. DOBRAVEL DP;15;30;0;
5849;ABELHA C/CORDA;7,5;12;0;
8008;ABOBORA ESTER 5GR FELTRIN;3;4,5;50;
3763;ABOBORA GOIANINHA 2,5GR FELTRIN;2,6;4,5;73,08;
8009;ABOBORA KYOTO 2GR FELTRIN;3;4,5;50;
8013;ABOBORA M.PAULISTA ISABELLA 5GR FELTRIN;3;4,5;50;
831;ABOBORA MENINA BRASILEIRA PRECOCE 5GR;3;4,5;50;
830;ABOBORA RAJADA SECA MELHORADA 5GR FELT;2,6;3,9;50;
14963;ABOBORA X JACAREZINHO 3GR FELTRIN;3;4,5;50;
